Entry Date,Symbol,MarketCap,Sector,Target Month,Month Open,Month High,Month Low,Month Close,%High,%Low,%Close
01-11-2023,PGEL,Midcap,Consumer Discretionary,Dec-2023,232.02,256.76,223.83,237.18,10.66,-3.53,2.22
01-11-2023,MCX,Midcap,Financials,Dec-2023,638.72,665.38,608.72,636.7,4.17,-4.7,-0.32
01-11-2023,VBL,Largecap,FMCG,Dec-2023,441.99,549.5,420.29,492.52,24.32,-4.91,11.43
01-11-2023,HAL,Largecap,Aerospace & Defence,Dec-2023,2423.9,2768.54,2367.7,2724.09,14.22,-2.32,12.38
01-12-2023,BHEL,Largecap,Industrials,Jan-2024,198.42,233.76,191.29,227.58,17.81,-3.59,14.7
01-12-2023,LT,Largecap,Realty,Jan-2024,3477.97,3674.48,3329.58,3420.71,5.65,-4.27,-1.65
01-12-2023,KEI,Largecap,Industrials,Jan-2024,3239.49,3407.85,2813.37,3182.82,5.2,-13.15,-1.75
01-12-2023,NTPC,Largecap,Power & Utilities,Jan-2024,294.56,307.54,279.97,299.75,4.41,-4.95,1.76
01-12-2023,INOXWIND,Midcap,Industrials,Jan-2024,126.0,135.04,102.51,119.5,7.17,-18.64,-5.16
01-01-2024,PHOENIXLTD,Largecap,Realty,Feb-2024,1207.88,1466.54,1154.49,1376.16,21.41,-4.42,13.93
01-01-2024,NMDC,Largecap,Metals & Mining,Feb-2024,66.33,75.41,65.34,69.18,13.69,-1.49,4.31
01-01-2024,OFSS,Largecap,I.T,Feb-2024,6032.01,7575.35,5902.51,7097.63,25.59,-2.15,17.67
01-01-2024,DLF,Largecap,Realty,Feb-2024,792.2,908.08,773.09,889.57,14.63,-2.41,12.29
01-01-2024,BAJAJ-AUTO,Largecap,Auto,Feb-2024,7429.79,8368.18,7384.8,7651.66,12.63,-0.61,2.99
01-01-2024,NHPC,Largecap,Power & Utilities,Feb-2024,86.31,108.74,72.74,84.01,25.99,-15.72,-2.66
01-01-2024,OIL,Largecap,Energy,Feb-2024,266.02,391.66,263.0,339.78,47.23,-1.13,27.73
01-01-2024,COALINDIA,Largecap,Metals & Mining,Feb-2024,355.33,423.82,349.85,383.95,19.28,-1.54,8.06
01-01-2024,NBCC,Largecap,Miscellaneous,Feb-2024,85.91,115.98,79.19,88.7,35.0,-7.82,3.24
01-01-2024,HUDCO,Largecap,Financials,Feb-2024,164.37,214.48,155.85,181.04,30.48,-5.19,10.14
01-01-2024,RVNL,Largecap,Realty,Feb-2024,308.21,315.02,220.78,241.28,2.21,-28.37,-21.71
01-01-2024,MAXHEALTH,Largecap,Healthcare,Feb-2024,777.76,907.38,759.96,791.07,16.67,-2.29,1.71
01-02-2024,CUMMINSIND,Largecap,Industrials,Mar-2024,2679.38,2948.38,2584.83,2930.11,10.04,-3.53,9.36
01-02-2024,BOSCHLTD,Largecap,Auto,Mar-2024,28071.57,30584.24,27605.34,29485.86,8.95,-1.66,5.04
01-02-2024,INDHOTEL,Largecap,Services,Mar-2024,586.41,592.02,527.9,587.65,0.96,-9.98,0.21
01-02-2024,IOC,Largecap,Energy,Mar-2024,153.1,162.59,140.02,152.92,6.19,-8.54,-0.12
01-02-2024,SOLARINDS,Largecap,Aerospace & Defence,Mar-2024,6815.62,9436.35,6741.96,8770.0,38.45,-1.08,28.68
01-02-2024,POWERGRID,Largecap,Power & Utilities,Mar-2024,266.71,279.72,241.12,259.13,4.88,-9.6,-2.84
01-02-2024,PERSISTENT,Largecap,I.T,Mar-2024,4264.74,4312.52,3885.03,3937.95,1.12,-8.9,-7.66
01-03-2024,ABB,Largecap,Industrials,Apr-2024,6340.0,6686.15,6164.83,6456.79,5.46,-2.76,1.84
01-03-2024,ONGC,Largecap,Energy,Apr-2024,241.48,263.55,238.73,254.81,9.14,-1.14,5.52
01-03-2024,LT,Largecap,Realty,Apr-2024,3716.7,3794.5,3413.48,3533.31,2.09,-8.16,-4.93
